Net Asset Value,Repurchase Price,Sale Price,NAV date
41.9588,,,18-May-21
41.8808,,,19-May-21
41.5908,,,20-May-21
42.3733,,,21-May-21
42.6023,,,24-May-21
42.6537,,,25-May-21
42.807,,,26-May-21
42.98,,,27-May-21
43.0744,,,28-May-21
43.5485,,,31-May-21
43.5081,,,01-Jun-21
43.647,,,02-Jun-21
43.8845,,,03-Jun-21
43.87,,,04-Jun-21
44.1076,,,07-Jun-21
44.0927,,,08-Jun-21
43.8717,,,09-Jun-21
44.2513,,,10-Jun-21
44.3379,,,11-Jun-21
44.3703,,,14-Jun-21
44.5419,,,15-Jun-21
44.2958,,,16-Jun-21
43.9878,,,17-Jun-21
43.8034,,,18-Jun-21
44.0548,,,21-Jun-21
44.1358,,,22-Jun-21
43.8581,,,23-Jun-21
44.1249,,,24-Jun-21
44.5398,,,25-Jun-21
44.3881,,,28-Jun-21
44.2692,,,29-Jun-21
44.2018,,,30-Jun-21
44.0943,,,01-Jul-21
44.2457,,,02-Jul-21
44.6133,,,05-Jul-21
44.5303,,,06-Jul-21
44.7959,,,07-Jul-21
44.3853,,,08-Jul-21
44.3302,,,09-Jul-21
44.3011,,,12-Jul-21
44.6722,,,13-Jul-21
44.8091,,,14-Jul-21
45.031,,,15-Jul-21
45.0424,,,16-Jul-21
44.681,,,19-Jul-21
44.0646,,,20-Jul-21
44.5981,,,22-Jul-21
44.758,,,23-Jul-21
44.8256,,,26-Jul-21
44.7293,,,27-Jul-21
44.7719,,,28-Jul-21
45.1446,,,29-Jul-21
45.1018,,,30-Jul-21
45.3261,,,02-Aug-21
45.9736,,,03-Aug-21
46.1628,,,04-Aug-21
46.2267,,,05-Aug-21
46.0206,,,06-Aug-21
45.9151,,,09-Aug-21
45.8566,,,10-Aug-21
45.99,,,11-Aug-21
46.3347,,,12-Aug-21
46.7766,,,13-Aug-21
46.8268,,,16-Aug-21
46.8162,,,17-Aug-21
46.6596,,,18-Aug-21
46.0609,,,20-Aug-21
46.1849,,,23-Aug-21
46.599,,,24-Aug-21
46.7066,,,25-Aug-21
46.6616,,,26-Aug-21
46.9473,,,27-Aug-21
47.6564,,,30-Aug-21
48.2613,,,31-Aug-21
48.248,,,01-Sep-21
48.643,,,02-Sep-21
48.7631,,,03-Sep-21
48.8047,,,06-Sep-21
48.7547,,,07-Sep-21
48.8223,,,08-Sep-21
49.0387,,,09-Sep-21
49.002,,,13-Sep-21
49.1195,,,14-Sep-21
49.7549,,,15-Sep-21
50.0833,,,16-Sep-21
49.7602,,,17-Sep-21
49.2272,,,20-Sep-21
49.6329,,,21-Sep-21
49.8687,,,22-Sep-21
50.562,,,23-Sep-21
50.4465,,,24-Sep-21
50.5507,,,27-Sep-21
50.1365,,,28-Sep-21
50.3312,,,29-Sep-21
50.22,,,30-Sep-21
50.005,,,01-Oct-21
50.7033,,,04-Oct-21
51.1556,,,05-Oct-21
50.5278,,,06-Oct-21
51.0234,,,07-Oct-21
51.2311,,,08-Oct-21
51.5236,,,11-Oct-21
51.5693,,,12-Oct-21
52.0996,,,13-Oct-21
52.6416,,,14-Oct-21
52.808,,,18-Oct-21
52.2947,,,19-Oct-21
52.1583,,,20-Oct-21
52.023,,,21-Oct-21
51.7755,,,22-Oct-21
51.7394,,,25-Oct-21
52.1214,,,26-Oct-21
52.0063,,,27-Oct-21
50.9647,,,28-Oct-21
50.4826,,,29-Oct-21
51.496,,,01-Nov-21
51.5533,,,02-Nov-21
51.4257,,,03-Nov-21
52.1688,,,08-Nov-21
52.3273,,,09-Nov-21
52.2513,,,10-Nov-21
51.8493,,,11-Nov-21
52.4171,,,12-Nov-21
52.2905,,,15-Nov-21
51.8474,,,16-Nov-21
51.6105,,,17-Nov-21
51.0595,,,18-Nov-21
49.9953,,,22-Nov-21
50.6019,,,23-Nov-21
50.4891,,,24-Nov-21
